Time,S_avg,I_avg,R_avg
0.2,0.930137,0.024519,0.045344
0.4,0.928882,0.0252763,0.045842
0.6,0.92758,0.0260646,0.0463555
0.8,0.926231,0.0268843,0.046885
1,0.924833,0.0277361,0.0474312
1.2,0.923385,0.0286204,0.0479948
1.4,0.921886,0.0295377,0.0485764
1.6,0.920335,0.0304887,0.0491767
1.8,0.91873,0.0314738,0.0497964
2,0.91707,0.0324937,0.0504361
2.2,0.915354,0.033549,0.0510966
2.4,0.913581,0.0346404,0.0517785
2.6,0.911749,0.0357683,0.0524827
2.8,0.909857,0.0369336,0.0532097
3,0.907903,0.0381368,0.0539605
3.2,0.905886,0.0393786,0.0547357
3.4,0.903804,0.0406597,0.0555361
3.6,0.901657,0.0419807,0.0563626
3.8,0.899442,0.0433423,0.0572159
4,0.897158,0.0447451,0.0580968
4.2,0.894804,0.0461898,0.0590062
4.4,0.892378,0.0476771,0.0599449
4.6,0.889879,0.0492075,0.0609138
4.8,0.887304,0.0507817,0.0619138
5,0.884654,0.0524003,0.0629457
5.2,0.881926,0.0540638,0.0640104
5.4,0.879118,0.0557728,0.0651088
5.6,0.87623,0.0575278,0.0662419
5.8,0.87326,0.0593293,0.0674106
6,0.870206,0.0611778,0.0686157
6.2,0.867068,0.0630737,0.0698583
6.4,0.863843,0.0650173,0.0711393
6.6,0.860531,0.067009,0.0724597
6.8,0.857131,0.0690491,0.0738203
7,0.85364,0.0711377,0.0752223
7.2,0.850058,0.0732752,0.0766665
7.4,0.846384,0.0754615,0.078154
7.6,0.842617,0.0776968,0.0796857
7.8,0.838756,0.0799811,0.0812626
8,0.8348,0.0823141,0.0828856
8.2,0.830748,0.0846958,0.0845559
8.4,0.8266,0.087126,0.0862742
8.6,0.822354,0.0896042,0.0880416
8.8,0.818011,0.0921302,0.0898591
9,0.813569,0.0947033,0.0917275
9.2,0.809029,0.0973231,0.0936479
9.4,0.80439,0.0999887,0.0956212
9.6,0.799652,0.102699,0.0976482
9.8,0.794816,0.105454,0.0997299
10,0.78988,0.108253,0.101867
10.2,0.784846,0.111093,0.104061
10.4,0.779714,0.113974,0.106312
10.6,0.774484,0.116895,0.10862
10.8,0.769158,0.119854,0.110988
11,0.763735,0.12285,0.113415
11.2,0.758217,0.125881,0.115903
11.4,0.752604,0.128945,0.118451
11.6,0.746899,0.13204,0.121061
11.8,0.741102,0.135164,0.123733
12,0.735215,0.138316,0.126468
12.2,0.72924,0.141493,0.129267
12.4,0.723178,0.144693,0.132129
12.6,0.717032,0.147913,0.135055
12.8,0.710803,0.151151,0.138046
13,0.704494,0.154404,0.141102
13.2,0.698108,0.157669,0.144223
13.4,0.691646,0.160945,0.147409
13.6,0.685112,0.164227,0.150661
13.8,0.678509,0.167513,0.153978
14,0.671839,0.170799,0.157362
14.2,0.665105,0.174084,0.160811
14.4,0.658312,0.177363,0.164326
14.6,0.651461,0.180633,0.167906
14.8,0.644557,0.183892,0.171551
15,0.637604,0.187135,0.175262
15.2,0.630604,0.190359,0.179037
15.4,0.623561,0.193562,0.182876
15.6,0.616481,0.19674,0.18678
15.8,0.609365,0.199889,0.190746
16,0.602219,0.203006,0.194775
16.2,0.595046,0.206087,0.198867
16.4,0.587851,0.20913,0.203019
16.6,0.580637,0.212132,0.207232
16.8,0.573408,0.215087,0.211504
17,0.56617,0.217995,0.215835
17.2,0.558925,0.220851,0.220224
17.4,0.551678,0.223652,0.224669
17.6,0.544434,0.226396,0.22917
17.8,0.537195,0.22908,0.233725
18,0.529967,0.2317,0.238333
18.2,0.522754,0.234253,0.242993
18.4,0.515558,0.236739,0.247703
18.6,0.508385,0.239152,0.252462
18.8,0.501238,0.241493,0.257269
19,0.494121,0.243757,0.262122
19.2,0.487037,0.245944,0.267019
19.4,0.479991,0.24805,0.271959
19.6,0.472985,0.250074,0.276941
19.8,0.466023,0.252015,0.281962
20,0.459109,0.253871,0.287021
