59 21,,,,,,,,
Province_State,Country_Region,Date,Lat,Long_,Confirmed,Deaths,Recovered,Active
Alabama,US,2/2/2021,32.3182,-86.9023,462938,7894,242143,212901
Alaska,US,2/2/2021,61.3707,-152.4044,54596,279,0,0
American Samoa,US,2/2/2021,-14.271,-170.132,0,0,0,0
Arizona,US,2/2/2021,33.7298,-111.4312,765083,13362,104681,647040
Arkansas,US,2/2/2021,34.9697,-92.3731,298004,4939,276704,16361
California,US,2/2/2021,36.1162,-119.6816,3408999,41171,0,0
Colorado,US,2/2/2021,39.0598,-105.3111,416872,5918,21127,371260
Connecticut,US,2/2/2021,41.5978,-72.7554,256522,7133,9800,239589
Delaware,US,2/2/2021,39.3185,-75.5071,78696,1316,0,0
Diamond Princess,US,2/2/2021,,,49,0,0,0
District of Columbia,US,2/2/2021,38.8974,-77.0268,37008,916,26086,10006
Florida,US,2/2/2021,27.7663,-81.6868,1737640,26822,0,0
Georgia,US,2/2/2021,33.0406,-83.6431,917440,14450,0,0
Grand Princess,US,2/2/2021,,,103,3,0,0
Guam,US,2/2/2021,13.4443,144.7937,7610,129,7381,100
Hawaii,US,2/2/2021,21.0943,-157.4983,26734,410,0,0
Idaho,US,2/2/2021,44.2405,-114.4788,163656,1741,82721,79194
Illinois,US,2/2/2021,40.3495,-88.9861,1130917,21336,0,0
Indiana,US,2/2/2021,39.8494,-86.2583,629903,11371,409565,208967
Iowa,US,2/2/2021,42.0115,-93.2105,321274,4919,286315,30040
Kansas,US,2/2/2021,38.5266,-96.7265,278749,3834,5715,269606
Kentucky,US,2/2/2021,37.6681,-84.6701,366929,3812,43714,319403
Louisiana,US,2/2/2021,31.1695,-91.8678,404194,8953,344321,50920
Maine,US,2/2/2021,44.6939,-69.3819,39960,618,12440,26902
Maryland,US,2/2/2021,39.0639,-76.8021,356541,7188,9502,339851
Massachusetts,US,2/2/2021,42.2302,-71.5301,528662,12334,389717,124293
Michigan,US,2/2/2021,43.3266,-84.5361,614143,15609,481801,116733
Minnesota,US,2/2/2021,45.6945,-93.9002,463132,6278,448595,8259
Mississippi,US,2/2/2021,32.7416,-89.6787,276531,6132,222812,47587
Missouri,US,2/2/2021,38.4561,-92.2884,536176,7340,0,0
Montana,US,2/2/2021,46.9219,-110.4544,94384,1249,89542,3593
Nebraska,US,2/2/2021,41.1254,-98.2681,191437,1929,137446,52062
Nevada,US,2/2/2021,38.3135,-117.0554,279957,4324,0,0
New Hampshire,US,2/2/2021,43.4525,-71.5639,66656,1059,61096,4501
New Jersey,US,2/2/2021,40.2989,-74.521,703496,21584,68267,613645
New Mexico,US,2/2/2021,34.8405,-106.2485,174982,3310,105568,66104
New York,US,2/2/2021,42.1657,-74.9481,1436788,43793,128889,1264106
North Carolina,US,2/2/2021,35.6301,-79.8064,764228,9409,683697,71122
North Dakota,US,2/2/2021,47.5289,-99.784,97350,1447,95491,859
Northern Mariana Islands,US,2/2/2021,15.0979,145.6739,133,2,29,102
Ohio,US,2/2/2021,40.3888,-82.7649,902736,17471,793766,91496
Oklahoma,US,2/2/2021,35.5653,-96.9289,392923,3602,360702,28619
Oregon,US,2/2/2021,44.572,-122.0709,143978,1981,0,0
Pennsylvania,US,2/2/2021,40.5908,-77.2098,858744,21820,697400,139524
Puerto Rico,US,2/2/2021,18.2208,-66.5901,94526,1846,78813,13867
Rhode Island,US,2/2/2021,41.6809,-71.5118,116191,2366,7096,106729
South Carolina,US,2/2/2021,33.8569,-80.945,447904,7318,199045,241541
South Dakota,US,2/2/2021,44.2998,-99.4388,108431,1779,104052,2600
Tennessee,US,2/2/2021,35.7478,-86.6923,724427,9900,688963,25913
Texas,US,2/2/2021,31.0545,-97.5635,2465597,37673,1993704,431477
Utah,US,2/2/2021,40.15,-111.8624,348409,1685,309977,36747
Vermont,US,2/2/2021,44.0459,-72.7107,12196,176,8581,3439
Virgin Islands,US,2/2/2021,18.3358,-64.8963,2426,24,2317,85
Virginia,US,2/2/2021,37.7693,-78.17,510380,6517,40673,463190
Washington,US,2/2/2021,47.4009,-121.4905,314692,4316,0,0
West Virginia,US,2/2/2021,38.4912,-80.9545,121935,2031,99857,20047
Wisconsin,US,2/2/2021,44.2685,-89.6165,594217,6480,520325,67412
Wyoming,US,2/2/2021,42.756,-107.3025,52128,624,50431,1073
